x1_exp,y1_exp,x1_baseline,y1_baseline,x1_fitted,y1_fitted,x1_nn,y1_nn
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009214446
0.022,0.035,0.022,0.013041301823523649,0.022,0.04945899834866353,0.022,0.038121942
0.031,0.049,0.031,0.018498325641800702,0.031,0.06692577460812917,0.031,0.08543433
0.044,0.063,0.044,0.02650106050437786,0.044,0.08981119633721578,0.044,0.10471102
0.077,0.102,0.077,0.04737257151678077,0.077,0.1376292705754843,0.077,0.13567409
0.092,0.117,0.092,0.05712720745410664,0.092,0.1555978276306785,0.092,0.1108466
0.189,0.193,0.189,0.12376613745790271,0.189,0.2364858006362103,0.189,0.1567972
0.202,0.196,0.202,0.13314749838169204,0.202,0.2442643813052481,0.202,0.1667501
0.261,0.234,0.261,0.17706338710232764,0.261,0.27437169677264794,0.261,0.24069695
0.297,0.254,0.297,0.2048844011334695,0.297,0.2896300546323854,0.297,0.24398829
0.312,0.268,0.312,0.21668389915262148,0.312,0.2954661078713961,0.312,0.26084867
0.328,0.275,0.328,0.22943010950561224,0.328,0.3014547288123733,0.328,0.28041092
0.344,0.282,0.344,0.2423400254549839,0.344,0.3072331099285686,0.344,0.28441513
0.416,0.32,0.416,0.30243471892632046,0.416,0.33144369603781837,0.416,0.3416665
0.468,0.328,0.468,0.3482980448469164,0.467,0.3479270662556757,0.468,0.34104452
0.467,0.344,0.467,0.3471612630590916,0.468,0.34847764482948573,0.467,0.3539948
0.489,0.352,0.489,0.36700289610043935,0.489,0.35507152705136125,0.489,0.33652574
0.564,0.397,0.564,0.43780796176130055,0.564,0.3810751259504082,0.564,0.399797
0.62,0.426,0.62,0.4941231372466237,0.62,0.4033536555758743,0.62,0.45398843
0.651,0.446,0.651,0.5265689443962256,0.651,0.4172437564866328,0.651,0.4450183
0.684,0.467,0.684,0.5623151514708528,0.684,0.43380083286098575,0.684,0.51274145
0.755,0.523,0.755,0.6441985736172885,0.755,0.478446682560567,0.755,0.56519425
0.872,0.667,0.872,0.7960206519371146,0.872,0.6032574637231187,0.872,0.68210244
0.932,0.793,0.932,0.8854922672613412,0.932,0.7250740095204851,0.932,0.8040295
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
